STATEFP,PUMA5CE,PUMA NAME
06,11103,Ventura County (Southwest)--Oxnard & Port Hueneme Cities
06,11104,Ventura County (Southwest)--San Buenaventura (Ventura) City
06,11105,"Ventura County (North)--Santa Paula, Fillmore & Ojai Cities"
06,11106,Ventura County (South Central)--Camarillo & Moorpark Cities
06,11300,"Yolo County--Davis, Woodland & West Sacramento Cities"
08,00100,Northeast Colorado--Eastern Plains Region
08,00102,Larimer County (South)--Loveland City
08,00103,Larimer County (North)--Fort Collins City
08,00200,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties"
08,00300,"Weld County (South Central)--Greeley, Windsor & Evans Cities"
08,00400,"Eagle, Summit, Grand & Jackson Counties"
08,00600,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties"
08,00700,Pueblo County (North)--Pueblo City & Pueblo West
08,00800,Southeast Colorado
08,00801,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties"
08,00802,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town
08,00803,Boulder County (Central)--Boulder City
08,00804,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties"
08,00805,Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities
08,00806,Adams County (West Central)--Thornton & Federal Heights Cities
08,00807,Adams County (West Central)--Commerce City & Brighton Cities
08,00808,Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities
08,00809,Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central)
08,00810,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)
08,00811,Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities
08,00812,Denver City (Northeast)
08,00813,Denver City (Northwest)
08,00814,Denver City (South Central)
08,00815,Denver City (Southeast)
08,00816,Denver City (Southwest)
08,00817,Jefferson County (Northeast)--Arvada City
08,00818,"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities"
08,00819,Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge
08,00820,"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine"
08,00821,Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park
08,00822,Douglas County (South)--Castle Rock Town
08,00823,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery
08,00824,DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)
08,00900,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties"
08,01001,Mesa County (Central)--Greater Grand Junction & Fruita Cities
08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties"
08,04101,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City
08,04102,El Paso County (West Central)--Colorado Springs City (West)
08,04103,El Paso County (Central)--Colorado Springs City (Central)
08,04104,El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills
08,04105,El Paso County (Central)--Colorado Springs City (South) & Security-Widefield
08,04106,El Paso County (North Central)--Colorado Springs City (North) & Monument Town
09,00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns"
09,00101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns"
09,00102,Stamford & Greenwich Towns
09,00103,"Norwalk, Westport & Darien Towns"
09,00104,Bridgeport Town
09,00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns"
09,00300,Hartford County (North)
09,00301,Manchester & East Hartford Towns
09,00302,Hartford Town
09,00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns"
09,00304,"Bristol, Southington & Burlington Towns"
09,00305,"New Britain, Berlin & Plainville Towns"
09,00306,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns"
09,00500,Litchfield County
09,00700,Middlesex County
09,00900,New Haven County (Northwest)
09,00901,Waterbury Town
